Date,"MB(not seasonally adjusted) - BOJ
(Unit: 100 million yen)","MB(not seasonally adjusted) - FRB
(Unit: 100 million US dollors)"
2000-01,721978,6019
2000-02,626865,5780
2000-03,649807,5771
2000-04,658350,5786
2000-05,637448,5806
2000-06,622152,5820
2000-07,637116,5842
2000-08,626193,5834
2000-09,618261,5838
2000-10,627618,5853
2000-11,635571,5903
2000-12,679588,5983
2001-01,681280,5987
2001-02,647866,5959
2001-03,657361,5991
2001-04,667725,6017
2001-05,669654,6059
2001-06,669739,6091
2001-07,687826,6160
2001-08,682731,6224
2001-09,706356,6472
2001-10,717502,6352
2001-11,733778,6395
2001-12,794424,6508
2002-01,840818,6538
2002-02,826163,6546
2002-03,871493,6590
2002-04,910393,6634
2002-05,868229,6686
2002-06,854332,6740
2002-07,860806,6793
2002-08,860881,6798
2002-09,857469,6804
2002-10,859299,6819
2002-11,894000,6885
2002-12,949444,6992
2003-01,953668,6993
2003-02,930274,7010
2003-03,966459,7053
2003-04,1015445,7096
2003-05,1013547,7137
2003-06,1027632,7150
2003-07,1036363,7176
2003-08,1037448,7209
2003-09,1036332,7211
2003-10,1036011,7248
2003-11,1043362,7306
2003-12,1074991,7394
2004-01,1083320,7364
2004-02,1080570,7353
2004-03,1081238,7368
2004-04,1082958,7412
2004-05,1088328,7450
2004-06,1072957,7507
2004-07,1085248,7573
2004-08,1085653,7572
2004-09,1085201,7622
2004-10,1079234,7639
2004-11,1094035,7705
2004-12,1119769,7763
2005-01,1125134,7752
2005-02,1093674,7729
2005-03,1103301,7735
2005-04,1115568,7755
2005-05,1112725,7764
2005-06,1091586,7807
2005-07,1101137,7829
2005-08,1097890,7827
2005-09,1103950,7879
2005-10,1109848,7872
2005-11,1110432,7935
2005-12,1130466,8031
2006-01,1141316,8042
2006-02,1114431,8049
2006-03,1092791,8101
2006-04,1035779,8092
2006-05,941951,8126
2006-06,914229,8124
2006-07,905410,8115
2006-08,875607,8097
2006-09,869660,8104
2006-10,873279,8098
2006-11,862670,8168
2006-12,904664,8267
2007-01,900507,8230
2007-02,879061,8200
2007-03,884022,8209
2007-04,908926,8230
2007-05,887868,8257
2007-06,876336,8272
2007-07,884708,8289
2007-08,881473,8296
2007-09,875728,8274
2007-10,877567,8290
2007-11,871633,8343
2007-12,907835,8372
2008-01,899793,8306
2008-02,879916,8295
2008-03,883867,8330
2008-04,883589,8302
2008-05,879638,8347
2008-06,880155,8402
2008-07,878532,8470
2008-08,879433,8476
2008-09,883741,9097
2008-10,889825,11364
2008-11,888562,14423
2008-12,924351,16664
2009-01,935049,17120
2009-02,936531,15617
2009-03,944658,16473
2009-04,956238,17532
2009-05,949165,17751
2009-06,936392,16837
2009-07,932096,16736
2009-08,933355,17108
2009-09,923942,18012
2009-10,928609,19363
2009-11,922042,20246
2009-12,972143,20262
2010-01,980675,19950
2010-02,956928,21152
2010-03,964571,20796
2010-04,983836,20144
2010-05,984323,20123
2010-06,970240,20024
2010-07,989359,19943
2010-08,983995,19937
2010-09,977173,19612
2010-10,988248,19617
2010-11,991866,19731
2010-12,1040238,20170
2011-01,1034826,20479
2011-02,1010039,22116
2011-03,1127432,23953
2011-04,1218934,24966
2011-05,1144208,25672
2011-06,1134780,26485
2011-07,1137324,26848
2011-08,1140447,26577
2011-09,1140181,26377
2011-10,1156428,26378
2011-11,1184978,26054
2011-12,1180195,26196
2012-01,1189656,26408
2012-02,1124409,26944
2012-03,1124618,26552
2012-04,1215003,26398
2012-05,1171210,26165
2012-06,1202142,26188
2012-07,1235010,26478
2012-08,1214626,26507
2012-09,1243261,25949
2012-10,1281344,26118
2012-11,1244449,26468
2012-12,1319837,26759
2013-01,1319205,27417
2013-02,1293148,28453
2013-03,1347413,29350
2013-04,1495975,30117
2013-05,1541412,31169
2013-06,1635375,32015
2013-07,1703890,32909
2013-08,1724437,33989
2013-09,1817012,34869
2013-10,1868687,35895
2013-11,1897244,36846
2013-12,1934594,37175
2014-01,2004141,37285
2014-02,2013223,38334
2014-03,2085929,38859
2014-04,2220795,39307
2014-05,2243719,39115
2014-06,2332465,39487
2014-07,2431068,39891
2014-08,2423138,40750
2014-09,2458169,40492
2014-10,2557542,40015
2014-11,2593603,38304
2014-12,2674016,39345
2015-01,2753859,40171
2015-02,2752617,38405
2015-03,2821182,40306
2015-04,3003275,40594
2015-05,3043476,39494
2015-06,3130770,39196
2015-07,3228211,39612
2015-08,3229269,39840
2015-09,3321941,40285
2015-10,3388877,40605
2015-11,3437218,40067
2015-12,3463793,38358
2016-01,3551030,37927
2016-02,3550415,38725
2016-03,3626050,38984
2016-04,3808364,38729
2016-05,3818397,38365
2016-06,3927119,38255
2016-07,4024578,37725
2016-08,4009981,38167
2016-09,4075081,37359
2016-10,4138966,35721
2016-11,4176573,36298
2016-12,4263922,35316
2017-01,4352054,35955
2017-02,4309696,37464
2017-03,4362634,38563
2017-04,4562398,38217
2017-05,4559954,37744
2017-06,4594854,37628
2017-07,4650692,37954
2017-08,4663075,39100
2017-09,4711205,38745
2017-10,4738791,38299
2017-11,4725834,39077
2017-12,4741265,38510
2018-01,4772595,38248
2018-02,4716382,38551
2018-03,4759328,38006
2018-04,4920203,37271
2018-05,4929691,36748
2018-06,4933638,36505
2018-07,4976398,36183
2018-08,4983868,35845
2018-09,4988216,35598
2018-10,5016198,35209
2018-11,5013302,34763
2018-12,4970034,34007
2019-01,4997797,33469
2019-02,4930980,33535
2019-03,4942027,33815
2019-04,5073520,32867
2019-05,5108086,32445
2019-06,5129912,32748
2019-07,5160145,32603
2019-08,5125110,32714
2019-09,5138266,32027
2019-10,5171008,32528
2019-11,5176305,33156
2019-12,5127767,34265
2020-01,5141329,34426
2020-02,5106311,34545
2020-03,5078486,38831
2020-04,5189225,48449
2020-05,5308787,51494
2020-06,5440233,50018
2020-07,5667600,47003
2020-08,5715919,48074
2020-09,5871952,48803
2020-10,6012845,49171
2020-11,6029293,50930
2020-12,6065491,52065
2021-01,6114206,52480
2021-02,6106078,54468
2021-03,6133816,58390
2021-04,6448961,60421
2021-05,6499142,60419
2021-06,6480471,60270
2021-07,6541081,61302
2021-08,6569573,63287
2021-09,6557964,63888
2021-10,6607426,63309
2021-11,6590000,63947
2021-12,6570831,64131
2022-01,6627169,61039
2022-02,6571737,60399
2022-03,6621323,61344
2022-04,6874736,58851
2022-05,6800213,55915
2022-06,6734841,55065
2022-07,6722218,55371
2022-08,6597138,55822
2022-09,6341934,54109
2022-10,6152627,53402
2022-11,6168203,54194
2022-12,6172224,54060
2023-01,6376936,53290
2023-02,6464403,53216
2023-03,6557809,55715
2023-04,6759281,55931
2023-05,6727323,55696
2023-06,6669938,56085
2023-07,6633513,55178
2023-08,6674477,55591
2023-09,6698608,55673
2023-10,6706127,56013
2023-11,6715329,57315
2023-12,6654863,58272
