Date,Yearly Average Currency Rate
1990,144.998685
1991,134.590917
1992,126.780118
1993,111.075476
1994,102.178964
1995,93.96494
1996,108.78
1997,121.058127
1998,130.989167
1999,113.761921
2000,107.797888
2001,121.449114
2002,125.471332
2003,115.813429
2004,108.110713
2005,110.018656
2006,116.321732
2007,117.788794
2008,103.495694
2009,93.588693
2010,87.806972
2011,79.829741
2012,79.843166
2013,97.589811
2014,105.858149
2015,121.055814
2016,108.80427
2017,112.149301
2018,110.430067
2019,109.007953
2020,106.72534
2021,109.816885
2022,131.453859
2023,140.510745
