Date,"USD/JPY
Monthly- Average","based on
CPI","based on
CGPI","based on
EPI"
201001,91.26 ,136.54 ,105.25 ,73.52 
201002,90.28 ,136.67 ,105.96 ,73.36 
201003,90.56 ,136.92 ,105.25 ,72.97 
201004,93.43 ,136.89 ,105.57 ,74.18 
201005,91.79 ,136.96 ,105.57 ,72.63 
201006,90.89 ,136.73 ,105.60 ,72.22 
201007,87.67 ,135.75 ,105.49 ,70.50 
201008,85.44 ,135.70 ,104.79 ,68.75 
201009,84.31 ,135.76 ,104.44 ,68.12 
201010,81.80 ,135.72 ,103.47 ,67.19 
201011,82.43 ,134.95 ,102.91 ,66.79 
201012,83.38 ,134.13 ,102.54 ,67.01 
201101,82.63 ,133.55 ,101.87 ,73.55 
201102,82.52 ,133.13 ,100.89 ,73.26 
201103,81.82 ,132.72 ,100.65 ,72.28 
201104,83.34 ,132.24 ,100.57 ,73.21 
201105,81.23 ,131.82 ,99.84 ,71.71 
201106,80.49 ,131.68 ,100.21 ,71.10 
201107,79.44 ,131.34 ,100.09 ,70.71 
201108,77.09 ,131.06 ,100.25 ,69.10 
201109,76.78 ,130.78 ,99.17 ,68.45 
201110,76.72 ,130.83 ,98.57 ,69.19 
201111,77.50 ,129.76 ,98.21 ,68.84 
201112,77.81 ,129.87 ,98.32 ,68.94 
201201,76.94 ,129.79 ,97.86 ,68.36 
201202,78.47 ,129.79 ,97.81 ,69.37 
201203,82.37 ,130.06 ,98.20 ,71.31 
201204,81.42 ,129.98 ,98.05 ,70.56 
201205,79.70 ,129.84 ,98.21 ,69.26 
201206,79.27 ,129.27 ,98.12 ,69.51 
201207,78.96 ,128.82 ,97.56 ,68.52 
201208,78.68 ,128.35 ,96.51 ,67.97 
201209,78.17 ,127.87 ,95.92 ,67.42 
201210,78.97 ,127.53 ,95.43 ,67.73 
201211,80.92 ,127.34 ,95.82 ,69.08 
201212,83.60 ,127.35 ,96.41 ,70.70 
201301,89.15 ,127.23 ,96.07 ,73.55 
201302,93.07 ,126.28 ,95.88 ,75.52 
201303,94.73 ,126.90 ,96.51 ,76.42 
201304,97.74 ,127.58 ,97.50 ,77.54 
201305,101.01 ,127.66 ,97.20 ,79.11 
201306,97.52 ,127.35 ,97.15 ,76.98 
201307,99.66 ,127.37 ,97.74 ,78.12 
201308,97.83 ,127.47 ,97.54 ,77.50 
201309,99.30 ,127.83 ,98.09 ,78.02 
201310,97.73 ,127.89 ,97.69 ,78.12 
201311,100.04 ,127.66 ,97.39 ,78.89 
201312,103.42 ,127.45 ,97.29 ,80.43 
201401,103.94 ,127.01 ,96.76 ,80.33 
201402,102.02 ,126.87 ,96.37 ,78.71 
201403,102.30 ,126.88 ,96.08 ,77.94 
201404,102.54 ,129.29 ,98.43 ,78.61 
201405,101.78 ,129.57 ,99.06 ,77.99 
201406,102.05 ,129.27 ,98.91 ,78.32 
201407,101.73 ,129.26 ,99.30 ,78.05 
201408,102.95 ,129.54 ,99.25 ,79.12 
201409,107.16 ,129.79 ,99.45 ,81.04 
201410,108.03 ,129.42 ,98.78 ,81.63 
201411,116.24 ,129.27 ,98.94 ,85.99 
201412,119.29 ,129.67 ,99.80 ,87.40 
201501,118.25 ,130.37 ,100.31 ,86.38 
201502,118.59 ,129.78 ,100.21 ,85.59 
201503,120.37 ,129.82 ,100.04 ,86.29 
201504,119.57 ,130.35 ,100.72 ,86.22 
